ＩＤ,年齢,都道府県,性別,結婚,職業,業種,世帯年収,居住形態,子供有無,Q.1,,,Q.2,,,,,,,,,,Q.3,,,,,,,,,Q.4-m1,,,,,,,,Q.4-m2,,,,,,,,Q.4-m3,,,,,,,,Q.4-m4,,,,,,,,Q.4-m5,,,,,,,,Q.4-m6,,,,,,,,Q.4-m7,,,,,,,,Q.4-m8,,,,,,,,Q.5,,,,,,,,,,,
,,,,,,,,,,1,2,3,1,2,3,4,5,6,7,8,8(FA),9,1,2,3,4,5,6,7,7(FA),8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,9,10,10(FA),11
m8998539829,60,東京都,男性,既婚,会社員(正社員),商社・卸売り・小売業,"900万～1,000万未満",賃貸（マンション）,あり,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,,0
m8994528758,51,愛知県,男性,未婚,会社員(正社員),運送・輸送業,400万～500万未満,持ち家（一戸建て）,なし,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,0
m8998932964,41,兵庫県,女性,未婚,会社員（契約・派遣社員）,教育業,300万～400万未満,持ち家（一戸建て）,なし,0,0,1,1,1,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,0
m8993912895,27,京都府,男性,未婚,会社員(正社員),商社・卸売り・小売業,400万～500万未満,賃貸（マンション）,なし,0,0,1,1,0,1,0,0,1,0,0,,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,,0
m8990144395,27,神奈川県,女性,既婚,専業主婦,勤めていない,"900万～1,000万未満",賃貸（アパート）,なし,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,,0
m8992442845,47,愛知県,男性,既婚,会社員(正社員),製造業,700万～800万未満,持ち家（一戸建て）,あり,0,0,1,0,1,0,0,0,0,0,0,,0,1,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,,0
m8995561863,62,愛知県,女性,既婚,専業主婦,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,0,0,1,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
m8998831074,60,東京都,男性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（マンション）,あり,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0
m89986504822,40,佐賀県,男性,未婚,その他,非営利団体,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,1,1,1,1,1,1,1,0,,0,0,1,1,0,1,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,,0
